book,chapter,verse,word,start,end
3,1,1,1,0.519,1.139
3,1,1,2,1.159,1.279
3,1,1,3,1.360,1.759
3,1,1,4,1.860,2.539
3,1,1,5,2.579,2.759
3,1,1,6,3.159,3.599
3,1,1,7,3.659,4.199
3,1,1,8,4.239,4.699
3,1,1,9,4.719,5.579
3,1,7,1,0.459,1.139
3,1,7,2,1.220,1.539
3,1,7,3,1.579,2.059
3,1,7,4,2.119,2.839
3,1,7,5,2.879,3.240
3,1,7,6,3.299,3.399
3,1,7,7,3.439,4.339
3,1,7,8,5.259,5.859
3,1,7,9,5.980,6.559
3,1,7,10,6.639,6.739
3,1,7,11,6.799,7.719
3,1,13,1,0.379,1.279
3,1,13,2,1.659,2.799
3,1,13,3,2.839,3.299
3,1,13,4,3.359,4.039
3,1,13,5,4.539,5.159
3,1,13,6,5.199,5.719
3,1,13,7,5.759,5.900
3,1,13,8,5.920,6.399
3,1,13,9,6.960,7.579
3,1,13,10,7.619,8.619
3,1,13,11,9.139,9.819
3,1,13,12,9.840,10.100
3,1,13,13,10.460,11.099
3,1,13,14,11.460,11.939
3,1,13,15,12.019,12.419
3,1,13,16,12.779,13.420
3,1,14,1,0.140,0.659
3,1,14,2,0.680,0.859
3,1,14,3,0.919,1.439
3,1,14,4,1.519,1.939
3,1,14,5,2.059,2.599
3,1,14,6,2.700,3.939
3,1,14,7,4.039,4.739
3,1,14,8,4.819,4.960
3,1,14,9,5.039,5.879
3,1,14,10,6.619,6.839
3,1,14,11,6.940,7.139
3,1,14,12,7.219,7.539
3,1,14,13,7.559,8.300
3,1,14,14,8.359,8.519
3,1,14,15,8.599,9.419
3,1,17,1,0.239,1.159
3,1,17,2,1.179,1.480
3,1,17,3,1.539,2.319
3,1,17,4,2.879,3.079
3,1,17,5,3.179,3.779
3,1,17,6,4.360,5.000
3,1,17,7,5.019,5.400
3,1,17,8,5.440,6.019
3,1,17,9,6.059,6.899
3,1,17,10,7.699,7.839
3,1,17,11,7.919,8.559
3,1,17,12,8.599,8.979
3,1,17,13,9.059,9.159
3,1,17,14,9.199,9.760
3,1,17,15,10.139,10.699
3,1,17,16,10.720,10.920
3,1,17,17,11.319,11.800
3,1,17,18,11.960,12.439
3,1,17,19,12.619,13.219
3,1,17,20,13.340,14.319
3,6,1,1,0.280,1.019
3,6,1,2,1.059,1.259
3,6,1,3,1.419,1.819
3,6,1,4,1.860,2.200
3,6,1,5,2.279,3.019
27,1,1,1,0.119,0.759
27,1,1,2,0.799,1.439
27,1,1,3,1.719,2.099
27,1,1,4,2.180,2.359
27,1,1,5,2.419,2.839
27,1,1,6,2.980,3.599
27,1,1,7,3.639,4.199
27,1,1,8,5.039,5.779
27,1,1,9,5.819,6.599
27,1,1,10,6.679,6.839
27,1,1,11,6.899,7.359
27,1,1,12,7.960,8.739
27,1,1,13,8.800,9.380
27,1,1,14,9.460,9.599
27,1,1,15,9.619,10.319
27,1,2,1,0.140,0.359
27,1,2,2,0.419,0.620
27,1,2,3,0.719,1.379
27,1,2,4,1.399,1.719
27,1,2,5,2.059,2.720
27,1,2,6,3.299,4.279
27,1,2,7,4.420,5.159
27,1,2,8,5.319,5.859
27,1,2,9,6.139,6.900
27,1,3,1,0.159,0.819
27,1,3,2,0.979,1.500
27,1,3,3,1.519,2.099
27,1,3,4,2.259,2.419
27,1,3,5,2.559,3.039
27,1,3,6,3.099,3.679
27,1,3,7,4.239,4.639
27,1,3,8,4.779,5.380
27,1,3,9,5.500,6.079
27,1,3,10,6.179,6.920
27,1,3,11,7.419,8.300
27,1,3,12,8.599,8.800
27,1,3,13,8.920,9.599
27,1,3,14,10.199,10.659
27,1,3,15,10.840,11.259
27,1,3,16,11.340,11.999
27,1,3,17,12.359,13.339
27,1,4,1,0.159,0.340
27,1,4,2,0.439,0.759
27,1,4,3,0.839,1.620
27,1,4,4,2.279,2.480
27,1,4,5,2.539,2.700
27,1,4,6,2.819,3.519
27,1,4,7,3.679,4.099
27,1,4,8,4.259,5.219
27,1,4,9,5.619,6.179
27,1,5,1,0.159,0.419
27,1,5,2,0.519,1.059
27,1,5,3,1.139,1.379
27,1,5,4,1.439,2.240
27,1,5,5,2.319,2.960
27,1,5,6,3.059,3.879
27,1,5,7,4.639,5.759
27,1,5,8,5.799,6.420
27,1,5,9,6.500,7.380
27,1,6,1,0.119,0.399
27,1,6,2,0.419,1.299
27,1,6,3,1.319,1.339
27,1,6,4,2.200,2.659
27,1,6,5,2.779,3.419
27,1,6,6,4.139,4.900
27,1,6,7,5.019,5.719
27,1,6,8,6.099,6.780
27,2,1,1,0.340,0.839
27,2,1,2,0.899,1.459
27,2,1,3,1.579,2.000
27,2,1,4,2.720,3.599
27,2,1,5,3.639,4.159
27,2,1,6,4.259,4.760
27,2,2,1,0.319,1.299
27,2,2,2,1.459,1.939
27,2,2,3,2.019,2.480
27,2,2,4,3.220,4.099
27,2,2,5,4.219,4.839
27,2,2,6,4.900,5.459
27,2,2,7,6.000,6.319
27,2,2,8,6.480,7.159
27,2,2,9,7.179,7.639
27,2,2,10,7.739,8.459
27,2,3,1,0.119,1.100
27,2,3,2,1.240,1.519
27,2,3,3,1.599,2.619
27,2,3,4,3.259,4.420
27,2,3,5,4.480,5.339
27,2,3,6,5.719,6.599
27,2,4,1,0.340,1.000
27,2,4,2,1.079,2.019
27,2,4,3,2.099,2.659
