book,chapter,verse,duration
1,1,1,1.234
1,1,2,11.311
1,1,3,5.146063
1,1,4,7.967313
1,1,5,10.213875
1,1,6,8.59425
1,1,7,13.400812
1,1,8,7.3665
1,1,9,11.284875
1,1,10,9.743625
1,1,11,16.3265
1,1,12,14.053875
1,1,13,3.5265
1,1,14,14.576313
1,1,15,7.941187
1,1,16,14.524062
1,1,17,7.10525
1,1,18,8.777125
1,1,19,3.57875
1,1,20,12.721625
1,1,21,16.901187
1,1,22,10.762437
1,1,23,3.944437
1,1,24,11.885687
1,1,25,12.8
1,1,26,17.162437
1,1,27,9.613062
1,1,28,18.337937
1,1,29,18.651375
1,1,30,13.60975
1,1,31,10.684062
1,2,1,4.96325
1,2,2,11.232625
1,2,3,11.964062
1,2,4,9.639125
1,2,5,15.882437
1,2,6,6.0865
1,2,7,14.288937
1,2,8,8.96
1,2,9,14.236688
1,2,10,9.848125
1,2,11,9.221187
1,2,12,6.922438
1,2,13,6.164875
1,2,14,9.456312
1,2,15,8.359125
1,2,16,7.471
1,2,17,9.273438
1,2,18,8.620375
1,2,19,18.390187
1,2,20,12.4865
1,2,21,11.598313
1,2,22,9.639125
1,2,23,13.92325
1,2,24,8.777125
1,2,25,6.504437
1,3,1,14.863625
1,3,2,5.8775
1,3,3,10.448937
1,3,4,4.85875
1,3,5,11.964062
1,3,6,16.953437
1,3,7,11.128125
1,3,8,14.02775
1,3,9,6.34775
1,3,10,8.59425
1,3,11,11.964062
1,3,12,9.038312
1,3,13,11.52
1,3,14,17.162437
1,3,15,12.617125
1,3,16,13.217937
1,3,17,19.069375
1,3,18,5.799125
1,3,19,13.191812
1,3,20,7.10525
1,3,21,7.653875
1,3,22,15.777938
1,3,23,8.777125
1,3,24,15.124875
1,4,1,9.012187
1,4,2,9.508563
1,4,3,7.10525
1,4,4,9.9265
1,4,5,8.38525
1,4,6,7.131375
1,4,7,11.937938
1,4,8,10.684062
1,4,9,9.560812
1,4,10,7.653875
1,4,11,10.448937
1,4,12,8.176312
1,4,13,5.198313
1,4,14,12.904438
1,4,15,12.721625
1,4,16,7.836688
1,4,17,11.04975
1,4,18,12.382
1,4,19,7.941187
1,4,20,5.694687
1,4,21,6.948562
1,4,22,11.52
1,4,23,15.777938
1,4,24,6.635063
1,4,25,13.087312
1,4,26,10.213875
1,5,1,7.131375
1,5,2,8.254687
1,5,3,8.724875
1,5,4,7.888937
1,5,5,9.560812
1,5,6,5.198313
1,5,7,9.430188
1,5,8,7.836688
1,5,9,4.075062
1,5,10,10.031
1,5,11,6.2955
1,5,12,5.250563
1,5,13,9.325687
1,5,14,6.112625
1,5,15,6.03425
1,5,16,9.430188
1,5,17,7.288125
1,5,18,7.3665
1,5,19,7.3665
1,5,20,7.653875
1,5,21,6.217125
1,5,22,9.456312
1,5,23,6.164875
1,5,24,7.183625
1,5,25,7.053063
1,5,26,9.456312
1,5,27,8.019562
1,5,28,5.746937
1,5,29,12.43425
1,5,30,9.87425
1,5,31,7.41875
1,5,32,9.090562
1,6,1,7.183625
1,6,2,9.273438
1,6,3,11.284875
1,6,4,16.901187
1,6,5,10.031
1,6,6,6.922438
1,6,7,14.341188
1,6,8,4.440812
1,6,9,10.475062
1,6,10,6.0865
1,6,11,5.92975
1,6,12,8.724875
1,6,13,13.217937
1,6,14,11.885687
1,6,15,12.355875
1,6,16,16.3265
1,6,17,13.688125
1,6,18,10.266063
1,6,19,11.36325
1,6,20,12.4865
1,6,21,10.109375
1,6,22,6.217125
1,7,1,11.546062
1,7,2,13.5575
1,7,3,8.620375
1,7,4,13.191812
1,7,5,5.851375
1,7,6,6.504437
1,7,7,8.359125
1,7,8,9.639125
1,7,9,10.161625
1,7,10,5.198313
1,7,11,17.86775
1,7,12,5.694687
1,7,13,13.635875
1,7,14,13.871
1,7,15,9.273438
1,7,16,10.266063
1,7,17,9.639125
1,7,18,7.706062
1,7,19,10.631813
1,7,20,7.10525
1,7,21,13.270188
1,7,22,7.601625
1,7,23,16.979563
1,7,24,5.982
1,8,1,12.852187
1,8,2,7.941187
1,8,3,8.90775
1,8,4,7.131375
1,8,5,9.508563
1,8,6,6.713437
1,8,7,7.941187
1,8,8,7.784438
1,8,9,18.102812
1,8,10,7.235875
1,8,11,12.8
1,8,12,9.508563
1,8,13,18.050562
1,8,14,7.288125
1,8,15,2.50775
1,8,16,6.582813
1,8,17,17.998313
1,8,18,5.459562
1,8,19,10.475062
1,8,20,12.43425
1,8,21,21.315875
1,8,22,11.937938
1,9,1,9.325687
1,9,2,15.36
1,9,3,9.508563
1,9,4,4.075062
1,9,5,13.871
1,9,6,8.306938
1,9,7,5.982
1,9,8,4.54525
1,9,9,6.817938
1,9,10,13.374688
1,9,11,12.617125
1,9,12,11.781187
1,9,13,7.3665
1,9,14,7.3665
1,9,15,13.035063
1,9,16,13.792625
1,9,17,11.102
1,9,18,8.8555
1,9,19,5.511812
1,9,20,5.668563
1,9,21,5.982
1,9,22,7.235875
1,9,23,16.613875
1,9,24,6.870188
1,9,25,6.4
1,9,26,7.471
1,9,27,9.377937
1,9,28,5.616313
1,9,29,8.620375
1,10,1,9.639125
1,10,2,8.071813
1,10,3,4.832625
1,10,4,4.257937
1,10,5,8.672625
1,10,6,3.892187
1,10,7,10.344437
1,10,8,4.728125
1,10,9,8.176312
1,10,10,7.549375
1,10,11,8.071813
1,10,12,5.459562
1,10,13,6.635063
1,10,14,8.071813
1,10,15,4.022812
1,10,16,3.944437
1,10,17,3.657125
1,10,18,8.019562
1,10,19,12.355875
1,10,20,8.019562
1,10,21,5.746937
1,10,22,7.758312
1,10,23,4.022812
1,10,24,4.440812
1,10,25,9.795875
1,10,26,7.471
1,10,27,3.996687
1,10,28,4.205687
1,10,29,5.668563
1,10,30,5.746937
1,10,31,6.217125
1,10,32,10.161625
1,11,1,7.053063
1,11,2,7.471
1,11,3,14.288937
1,11,4,13.400812
1,11,5,7.941187
1,11,6,13.270188
1,11,7,8.4375
1,11,8,7.601625
1,11,9,13.688125
1,11,10,9.508563
1,11,11,8.724875
1,11,12,5.92975
1,11,13,9.743625
1,11,14,4.205687
1,11,15,8.4375
1,11,16,5.0155
1,11,17,8.90775
1,11,18,4.780375
1,11,19,9.090562
1,11,20,4.493062
1,11,21,8.306938
1,11,22,3.343625
1,11,23,6.635063
1,11,24,5.328938
1,11,25,9.038312
1,11,26,6.504437
1,11,27,9.090562
1,11,28,5.8775
1,11,29,12.904438
1,11,30,4.623625
1,11,31,20.741187
1,11,32,8.96
1,12,1,12.146937
1,12,2,8.071813
1,12,3,10.527312
1,12,4,12.382
1,12,5,19.879125
1,12,6,8.90775
1,12,7,14.106063
1,12,8,17.737125
1,12,9,5.433438
1,12,10,10.057125
1,12,11,11.180375
1,12,12,9.848125
1,12,13,8.724875
1,12,14,7.888937
1,12,15,9.87425
1,12,16,10.475062
1,12,17,8.672625
1,12,18,9.090562
1,12,19,10.292188
1,12,20,8.80325
1,13,1,6.635063
1,13,2,4.96325
1,13,3,14.106063
1,13,4,7.653875
1,13,5,5.459562
1,13,6,9.848125
1,13,7,11.128125
1,13,8,11.937938
1,13,9,11.102
1,13,10,16.666062
1,13,11,10.448937
1,13,12,8.724875
1,13,13,5.433438
1,13,14,13.5575
1,13,15,8.4375
1,13,16,11.284875
1,13,17,7.340375
1,13,18,10.292188
1,14,1,10.396688
1,14,2,13.270188
1,14,3,6.504437
1,14,4,7.471
